isin,wkn,ticker,valor,name,index,inception_date,age_in_days,age_in_years,strategy,domicile_country,currency,hedged,securities_lending,dividends,ter,replication,size,is_sustainable,number_of_holdings,yesterday,last_week,last_month,last_three_months,last_six_months,last_year,last_three_years,last_five_years,2023,2022,2021,2020,last_dividends,last_year_dividends,last_year_volatility,last_three_years_volatility,last_five_years_volatility,last_year_return_per_risk,last_three_years_return_per_risk,last_five_years_return_per_risk,max_drawdown,last_year_max_drawdown,last_three_years_max_drawdown,last_five_years_max_drawdown,asset,instrument,region,exchange
GB00BM9JYH62,A3GZKD,AVMX,,Global X Aave ETP,Aave,2023-03-13,348,0.9534246575342465,Long-only,Jersey,USD,False,False,Accumulating,0.99,Physically backed,0,False,,-15.52,0.98,9.53,-2.08,67.86,,,,,,,,,,,,,,,,-40.18,,,,,,,
IE000GGQK173,A3D4VW,R8T,125589092,abrdn Global Real Estate Active Thematics UCITS ETF USD Accumulating ETF,abrdn Global Real Estate Active Thematics,2023-02-22,367,1.0054794520547945,"Long-only, Active",Ireland,USD,False,False,Accumulating,0.4,Full replication,10,True,,-1.71,0.33,0.88,7.85,6.6,,,,,,,,,,,,,,,,-15.23,,,,,,,
IE00B0M62Y33,A0HGWF,IUSJ,2308837,iShares AEX UCITS ETF,AEX®,2005-11-18,6672,18.279452054794522,Long-only,Ireland,EUR,False,True,Distributing,0.3,Full replication,624,False,25,8.84,-0.34,8.73,12.31,16.04,15.59,36.88,75.61,16.77,-11.78,29.89,5.14,1.95,2.2,12.02,16.22,18.52,1.3,0.68,0.64,-62.93,-9.52,-22.39,-35.73,,,,
IE00BMTX2B82,A2P9XA,AYE7,56145411,iShares AEX UCITS ETF EUR (Acc),AEX®,2020-07-29,1305,3.5753424657534247,Long-only,Ireland,EUR,False,True,Accumulating,0.3,Full replication,23,False,25,7.67,0.5,8.84,11.73,15.94,14.29,32.45,,16.82,-11.79,29.91,,,,12.03,16.32,,1.19,0.6,,-22.46,-9.56,-22.46,,,,,
NL0009272749,A1JN2C,2TCA,,VanEck AEX UCITS ETF,AEX®,2009-12-14,5185,14.205479452054794,Long-only,Netherlands,EUR,False,False,Distributing,0.3,Full replication,296,False,25,7.77,0.52,8.88,11.76,16.1,14.52,33.37,76.16,16.97,-11.62,30.17,5.36,2.07,2.32,11.86,16.31,18.53,1.22,0.62,0.65,-35.65,-9.41,-22.16,-35.65,,,,
IE000RN036E0,A3DGK2,FTGT,117184857,First Trust Alerian Disruptive Technology Real Estate UCITS ETF Acc,Alerian Disruptive Technology Real Estate,2022-03-31,695,1.904109589041096,Long-only,Ireland,USD,False,False,Accumulating,0.6,Full replication,3,False,27,-2.98,-0.48,-1.33,4.85,3.05,-0.11,,,9.24,,,,,,18.3,,,-0.01,,,-32.23,-13.28,,,,,,
IE000C75IMX8,A3DGK3,DTRE,116757307,First Trust Alerian Disruptive Technology Real Estate UCITS ETF Dist,Alerian Disruptive Technology Real Estate,2022-03-31,695,1.904109589041096,Long-only,Ireland,USD,False,False,Distributing,0.6,Full replication,1,False,27,-3.08,-0.61,-1.38,4.18,1.76,-2.61,,,6.69,,,,0.0,0.0,18.16,,,-0.14,,,-34.2,-14.94,,,,,,
IE00BKPTXQ89,A2P4PH,JMLP,56293164,HANetf Alerian Midstream Energy Dividend UCITS ETF,Alerian Midstream Energy Dividend,2020-07-27,1307,3.580821917808219,Long-only,Ireland,USD,False,False,Distributing,0.4,Swap based Unfunded,49,False,,7.14,1.32,5.4,6.62,11.79,13.06,88.15,,9.49,27.99,46.6,,6.05,6.41,14.73,20.28,,0.89,1.16,,-18.14,-10.69,-18.14,,,,,
CH1146882316,A3GVVU,ALC0,114688231,21Shares Algorand ETP,Algorand,2021-11-22,824,2.2575342465753425,Long-only,Switzerland,USD,False,False,Accumulating,2.5,Physically backed,2,False,,-21.59,-5.82,18.67,42.4,87.37,-34.56,,,38.41,-90.14,,,,,66.61,,,-0.52,,,-95.4,-68.01,,,,,,
GB00BNRRF105,A3GY74,RAND,,CoinShares Physical Staked Algorand,Algorand,2022-07-14,590,1.6164383561643836,Long-only,Jersey,USD,False,False,Accumulating,0.0,Physically backed,6,False,,-21.08,-5.38,19.73,44.26,91.3,-31.78,,,44.81,,,,,,69.92,,,-0.45,,,-80.59,-67.05,,,,,,
DE000A3GWNE8,A3GWNE,VGND,,VanEck Algorand ETN,Algorand,2022-03-24,702,1.9232876712328768,Long-only,Liechtenstein,USD,False,False,Accumulating,1.5,Physically backed,1,False,,-21.99,-6.47,18.24,42.42,88.0,-35.17,,,37.71,,,,,,65.49,,,-0.54,,,-90.94,-68.28,,,,,,
